serial_number,movie_name,introduction,description,star,evaluate
124,唐伯虎点秋香,1993/中国香港/喜剧爱情古装,华太师是黄霑，吴镇宇四大才子之一。,8.6,611797人评价
125,恐怖直播,2013/韩国/剧情犯罪悬疑,恐怖分子的“秋菊打官司”。,8.8,383995人评价
126,爱在日落黄昏时,2004/美国/剧情爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8,310941人评价
127,萤火之森,2011/日本/剧情爱情动画奇幻,触不到的恋人。,8.8,294331人评价
128,幸福终点站,2004/美国/喜剧剧情爱情,有时候幸福需要等一等。 ,8.8,336440人评价
129,超能陆战队,2014/美国/喜剧动作科幻动画冒险,Balalala~~~,8.7,618881人评价
130,借东西的小人阿莉埃蒂,2010/日本/动画奇幻冒险,曾经的那段美好会沉淀为一辈子的记忆。,8.8,334201人评价
131,绿皮书,2018/美国/剧情喜剧传记,去除成见，需要勇气。,8.9,875009人评价
132,风之谷,1984/日本/动画奇幻冒险,动画片的圣经。,8.8,259454人评价
133,无人知晓,2004/日本/剧情,我的平常生活就是他人的幸福。,9.1,154802人评价
134,神偷奶爸,2010/美国法国/喜剧动画冒险,Mr. I Don't Care其实也有Care的时候。,8.6,623440人评价
135,上帝之城,2002/巴西法国/犯罪剧情,被上帝抛弃了的上帝之城。,8.9,212350人评价
136,怪兽电力公司,2001/美国/儿童喜剧动画奇幻冒险,不要给它起名字，起了名字就有感情了。,8.7,397106人评价
137,玩具总动员3,2010/美国/喜剧动画奇幻冒险,跨度十五年的欢乐与泪水。,8.8,307975人评价
138,血战钢锯岭,2016/美国澳大利亚/剧情传记历史战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,515836人评价
139,电锯惊魂,2004/美国/悬疑惊悚恐怖,真相就在眼前。,8.7,316357人评价
140,岁月神偷,2010/中国香港中国大陆/剧情家庭,岁月流逝，来日可追。,8.7,419792人评价
141,喜宴,1993/中国台湾美国/剧情喜剧爱情同性家庭,中国家庭的喜怒哀乐忍。,8.9,213748人评价
142,七武士,1954/日本/动作冒险剧情,时代悲歌。,9.2,119630人评价
143,谍影重重3,2007/美国德国/动作悬疑惊悚,像吃了苏打饼一样干脆的电影。,8.8,275922人评价
144,完美的世界,1993/美国/剧情犯罪,坏人的好总是比好人的好来得更感人。,9.1,142955人评价
145,英雄本色,1986/中国香港/剧情动作犯罪,英雄泪短，兄弟情长。 ,8.7,308325人评价
146,时空恋旅人,2013/英国/喜剧爱情奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.7,334234人评价
147,傲慢与偏见,2005/法国英国美国/剧情爱情,爱是摈弃傲慢与偏见之后的曙光。,8.6,468426人评价
148,疯狂原始人,2013/美国/喜剧动画冒险,老少皆宜，这就是好莱坞动画的魅力。,8.7,558548人评价
149,萤火虫之墓,1988/日本/动画剧情战争,幸福是生生不息，却难以触及的远。 ,8.7,291318人评价
150,东邪西毒,1994/中国香港中国台湾/剧情动作爱情武侠古装,电影诗。,8.6,391543人评价
151,教父3,1990/美国/剧情犯罪,任何信念的力量，都无法改变命运。,8.9,212253人评价
152,真爱至上,2003/英国美国法国/喜剧剧情爱情,爱，是个动词。,8.6,466127人评价
153,爆裂鼓手,2014/美国/剧情音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.7,348804人评价
154,心迷宫,2014/中国大陆/剧情犯罪悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,302624人评价
155,被解救的姜戈,2012/美国/剧情动作西部冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.7,390645人评价
